Milford;MA;42.149176;-71.521490
Sherborn;MA;42.231025;-71.372020
Southborough;MA;42.297643;-71.533690
Lincoln;MA;42.425537;-71.303160
Stow;MA;42.423882;-71.510860
Sudbury;MA;42.385320;-71.429890
Wayland;MA;42.345583;-71.356430
Woodville;MA;42.446396;-71.459405
Burlington;MA;42.446396;-71.459405
Pinehurst;MA;42.540779;-71.238175
Billerica;MA;42.548050;-71.250540
Chelmsford;MA;42.595491;-71.354400
Dracut;MA;42.677772;-71.316000
Dunstable;MA;42.671356;-71.502920
Georgetown;MA;42.729437;-70.982910
Groveland;MA;42.750691;-71.024870
Haverhill;MA;42.757767;-71.085180
Lawrence;MA;42.635443;-70.879123
Methuen;MA;42.730040;-71.179350
North Andover;MA;42.683841;-71.111710
Lowell;MA;42.446396;-71.459405
Merrimac;MA;42.834246;-71.002070
North Billerica;MA;42.573592;-71.291100
North Chelmsford;MA;42.634199;-71.393220
North Reading;MA;42.583436;-71.098200
Nutting Lake;MA;42.446396;-71.459405
Reading;MA;42.525850;-71.109930
Tewksbury;MA;42.601684;-71.220710
Tyngsboro;MA;42.671589;-71.416940
Wakefield;MA;42.501345;-71.071320
West Boxford;MA;42.635443;-70.879123
Westford;MA;42.592086;-71.437540
Wilmington;MA;42.558576;-71.170310
Woburn;MA;42.446396;-71.459405
Winchester;MA;42.451945;-71.142760
Andover;MA;42.635443;-70.879123
Saugus;MA;42.462796;-71.009800
Swampscott;MA;42.474409;-70.905880
Nahant;MA;42.427096;-70.928090
Lynn;MA;42.454796;-70.974694
Amesbury;MA;42.854423;-70.935470
Beverly;MA;42.560995;-70.875700
Boxford;MA;42.677869;-71.008440
Byfield;MA;42.760870;-70.926480
Danvers;MA;42.569756;-70.943220
Essex;MA;42.631753;-70.779250
Gloucester;MA;42.624015;-70.675520
Hamilton;MA;42.635443;-70.879123
Hathorne;MA;42.635443;-70.879123
Ipswich;MA;42.682965;-70.840070
Lynnfield;MA;42.527895;-71.028340
Manchester;MA;42.580033;-70.764620
Marblehead;MA;42.497146;-70.863230
Middleton;MA;42.602278;-71.013560
Newburyport;MA;42.809891;-70.863630
Newbury;MA;42.780141;-70.868660
Salisbury;MA;42.850480;-70.861530
Peabody;MA;42.534045;-70.961460
Prides Crossing;MA;42.558113;-70.825743
Rockport;MA;42.659936;-70.617270
Rowley;MA;42.716708;-70.908990
Salem;MA;42.516845;-70.898500
South Hamilton;MA;42.616643;-70.865130
Topsfield;MA;42.642471;-70.944240
Wenham;MA;42.600518;-70.876180
West Newbury;MA;42.790736;-70.972860
Accord;MA;41.970474;-70.701357
Bellingham;MA;42.075122;-71.479530
Brant Rock;MA;42.081825;-70.643868
Canton;MA;42.166776;-71.134300
Cohasset;MA;42.241908;-70.812230
Dedham;MA;42.180048;-71.089230
Dover;MA;42.238880;-71.282410
East Mansfield;MA;41.998799;-71.200894
East Walpole;MA;42.153912;-71.213620
Foxboro;MA;42.061427;-71.242320
Franklin;MA;42.089104;-71.406900
Greenbush;MA;41.970474;-70.701357
Green Harbor;MA;42.069642;-70.649075
Hingham;MA;41.970474;-70.701357
Hull;MA;42.286347;-70.876630
Humarock;MA;42.142836;-70.693530
Mansfield;MA;42.019982;-71.219100
Marshfield;MA;42.109763;-70.691720
Marshfield Hills;MA;42.151202;-70.734146
Medfield;MA;42.185571;-71.304760
Medway;MA;42.151526;-71.423150
Millis;MA;42.166398;-71.361780
Minot;MA;41.970474;-70.701357
Norfolk;MA;42.111836;-71.328550
North Marshfield;MA;41.970474;-70.701357
North Scituate;MA;41.970474;-70.701357
Norwell;MA;42.152430;-70.820500
Norwood;MA;42.185974;-71.201660
Ocean Bluff;MA;42.097219;-70.651567
Sharon;MA;42.113749;-71.179230
Sheldonville;MA;42.180048;-71.089230
South Walpole;MA;42.101406;-71.272390
Stoughton;MA;42.125432;-71.106270
Walpole;MA;42.145237;-71.253750
Foxborough;MA;42.075995;-71.286055
Westwood;MA;42.212949;-71.207350
Wrentham;MA;42.059700;-71.346170
Mattapan;MA;42.272098;-71.094260
Charlestown;MA;42.378619;-71.064950
Jamaica Plain;MA;42.309998;-71.111710
Roslindale;MA;42.284678;-71.130520
West Roxbury;MA;42.279432;-71.159800
Allston;MA;42.355147;-71.131640
Brighton;MA;42.348418;-71.153490
Hyde Park;MA;42.252198;-71.125930
Readville;MA;42.338947;-70.919635
Cambridge;MA;42.379146;-71.128030
Somerville;MA;42.390846;-71.092250
Malden;MA;42.428549;-71.060590
Everett;MA;42.409916;-71.052200
Chelsea;MA;42.396382;-71.033520
Revere;MA;42.416247;-71.005250
Winthrop;MA;42.373047;-70.978030
Medford;MA;42.446396;-71.459405
Waltham;MA;42.388938;-71.239800
West Medford;MA;42.446396;-71.459405
Auburndale;MA;42.346146;-71.243057
Chestnut Hill;MA;42.320797;-71.169847
Waban;MA;42.446396;-71.459405
Quincy;MA;42.284498;-71.023160
Lexington;MA;42.446396;-71.459405
Arlington Heights;MA;42.446396;-71.459405
Melrose;MA;42.459045;-71.062330
Belmont;MA;42.446396;-71.459405
Waverley;MA;42.446396;-71.459405
Stoneham;MA;42.480145;-71.098350
Wellesley;MA;42.300596;-71.278750
Braintree;MA;42.180048;-71.089230
Milton;MA;42.253074;-71.074960
Milton Village;MA;42.180048;-71.089230
Weymouth;MA;42.242749;-70.944340
Needham;MA;42.180048;-71.089230
Weston;MA;42.446396;-71.459405
Boston;MA;42.338947;-70.919635
Newton;MA;42.446396;-71.459405
Avon;MA;42.121932;-71.045220
Bridgewater;MA;41.987250;-70.972786
Bryantville;MA;42.040708;-70.827245
Carver;MA;41.873697;-70.765600
Duxbury;MA;42.031371;-70.701050
East Bridgewater;MA;42.029083;-70.952270
Elmwood;MA;42.022225;-70.931588
